  2026-06-16 | Ad set targeting updated | Pastry Skincare | Boosted Instagram Media Mobile | Instagram post: The Pastry Premium Body Wash  has. | 120245549294630393 | 1 | old=[] new=[{'content': 'Custom audience:', 'children': ['All website visitors 180']}, {'content': 'Location:', 'children': ['South Africa']}, {'content': 'Exclude locatio type=targets_spec
  2026-06-16 | Ad set bidding updated | Pastry Skincare | Boosted Instagram Media Mobile | Instagram post: The Pastry Premium Body Wash  has. | 120245549294630393 | 1 | old=None new=Automatically bid for actions type=bid_type
  2026-06-16 | Ad set created | Pastry Skincare | Boosted Instagram Media Mobile | Instagram post: The Pastry Premium Body Wash  has. | 120245549294630393 | 1 | old=None new=None type=composite_data
  2026-06-16 | Ad set optimization goal updated | Pastry Skincare | Boosted Instagram Media Mobile | Instagram post: The Pastry Premium Body Wash  has. | 120245549294630393 | 1 | old=None new=Instagram profile visits type=optimization_goal
  2026-06-16 | Campaign created | Pastry Skincare | Boosted Instagram Media Mobile | Instagram post: The Pastry Premium Body Wash  has. | 120245549293410393 | 1 | old=None new={'type': 'payment_amount', 'currency': 'ZAR', 'new_value': 19000, 'additional_type': 'status_string', 'additional_value': 'Per day'} type=composite_data
  2026-06-19 | Ad set targeting updated | Mathebe Molise | Power Editor | AS1_Hyperpigmentation | 120243641897430393 | 2 | old=[{'content': 'Custom audience:', 'children': ['All website visitors 180, WEB-ATC-30d, InitiateCheckout30d, buyers180d, R new=[{'content': 'Custom audience:', 'children': ['All website visitors 180, WEB-ATC-30d, InitiateCheckou
  2026-06-19 | Ad set targeting updated | Mathebe Molise | Power Editor | AS1_Hyperpigmentation | 120239422422230393 | 2 | old=[{'content': 'Custom audience:', 'children': ['All website visitors 180, WEB-ATC-30d, InitiateCheckout30d, ReturningCust new=[{'content': 'Custom audience:', 'children': ['All website visitors 180, WEB-ATC-30d, InitiateCheckou
  2026-06-19 | Ad set value rules updated | Mathebe Molise | Power Editor | AS1_Hyperpigmentation | 120239422422230393 | 2 | old=None new=None type=
* 2026-06-19 | Ad set status updated | Mathebe Molise | Power Editor | PASTRY_DPA_Broad_Acq_1 | 120239423593800393 | 2 | old=Pending Process new=Active type=run_status
* 2026-06-19 | Ad set targeting updated | Mathebe Molise | Power Editor | PASTRY_DPA_Broad_Acq_1 | 120239423593800393 | 1 | old=[{'content': 'Location:', 'children': ['South Africa']}, {'content': 'Exclude location:', 'children': ['China']}, {'cont new=[{'content': 'Location:', 'children': ['South Africa']}, {'content': 'Exclude location:', 'children':
  2026-06-19 | Ad targeting updated | Mathebe Molise | Power Editor | hand cream | 120239422499600393 | 1 | old=[{'content': 'Custom audience:', 'children': ['All website visitors 180, WEB-ATC-30d, InitiateCheckout30d, ReturningCust new=[{'content': 'Custom audience:', 'children': ['All website visitors 180, WEB-ATC-30d, InitiateCheckou
  2026-06-25 | Ad set targeting updated | Mathebe Molise | Power Editor | AS2 test. | 120246229373450393 | 2 | old=[] new=[{'content': 'Custom audience:', 'children': ['All website visitors 180, WEB-ATC-30d, InitiateCheckout30d, buyers180d, ReturningCustomerPurchase180d, Pastry
  2026-06-25 | Ad set bidding updated | Mathebe Molise | Power Editor | AS2 test. | 120246229373450393 | 1 | old=None new=Automatically bid for actions type=bid_type
  2026-06-25 | Ad set created | Mathebe Molise | Power Editor | AS2 test. | 120246229373450393 | 1 | old=None new=None type=composite_data
  2026-06-25 | Ad set optimization goal updated | Mathebe Molise | Power Editor | AS2 test. | 120246229373450393 | 1 | old=None new=Conversions type=optimization_goal
  2026-06-25 | Ad set budget scheduling enabled | Mathebe Molise | Power Editor | AS2 test. | 120246229373450393 | 1 | old=None new=False type=update_budget_schedule_state
* 2026-06-25 | Ad set status updated | Mathebe Molise | AdInternalScript | PASTRY_DPA_Broad_Acq_2 | 120239424374890393 | 2 | old=Pending Process new=Active type=run_status
* 2026-06-25 | Ad set status updated | Mathebe Molise | AdInternalScript | PASTRY_DPA_Broad_Acq_3 | 120239424374900393 | 2 | old=Pending Process new=Active type=run_status
  2026-06-25 | Ad set targeting updated | Mathebe Molise | AdInternalScript | AS2_Body_Care_Broad | 120239422623010393 | 1 | old=[{'content': 'Custom audience:', 'children': ['All website visitors 180, WEB-ATC-30d, InitiateCheckout30d, buyers180d, R new=[{'content': 'Custom audience:', 'children': ['All website visitors 180, WEB-ATC-30d, InitiateCheckou
* 2026-06-25 | Ad set targeting updated | Mathebe Molise | AdInternalScript | PASTRY_DPA_Broad_Acq_2 | 120239424374890393 | 1 | old=[{'content': 'Location:', 'children': ['South Africa']}, {'content': 'Exclude location:', 'children': ['China']}, {'cont new=[{'content': 'Location:', 'children': ['South Africa']}, {'content': 'Exclude location:', 'children':
* 2026-06-25 | Ad set targeting updated | Mathebe Molise | AdInternalScript | PASTRY_DPA_Broad_Acq_3 | 120239424374900393 | 1 | old=[{'content': 'Location:', 'children': ['South Africa']}, {'content': 'Exclude location:', 'children': ['China']}, {'cont new=[{'content': 'Location:', 'children': ['South Africa']}, {'content': 'Exclude location:', 'children':
* 2026-07-27 | Ad set budget updated | Mathebe Molise | ads MCP server | PASTRY_DPA_Broad_Acq_3 | 120239424374900393 | 1 | old={'type': 'payment_amount', 'currency': 'ZAR', 'old_value': 25000, 'additional_type': 'status_string', 'additional_value' new={'type': 'payment_amount', 'currency': 'ZAR', 'new_value': 30000, 'additional_type': 'status_string',
* 2026-07-27 | Ad set status updated | Mathebe Molise | ads MCP server | PASTRY_DPA_Broad_Acq_3 | 120239424374900393 | 2 | old=Active new=Pending Process type=run_status
  2026-07-28 | Campaign status updated | Mathebe Molise | ads MCP server | PASTRY_Main_Revenue | 120239422422250393 | 2 | old=Pending Process new=Active type=run_status
  2026-07-28 | Campaign budget updated | Mathebe Molise | ads MCP server | PASTRY_Main_Revenue | 120239422422250393 | 1 | old={'type': 'payment_amount', 'currency': 'ZAR', 'old_value': 120000, 'additional_type': 'status_string', 'additional_value new={'type': 'payment_amount', 'currency': 'ZAR', 'new_value': 144000, 'additional_type': 'status_string'
  2026-08-05 | Ad set targeting updated | MarketingAgent | Ads Automation Pastry | ARCHIVE_DO_NOT_USE_PASTRY_Original_43Ads | 120247750791720393 | 1 | old=[] new=[{'content': 'Location:', 'children': ['South Africa']}, {'content': 'Minimum age:', 'children': ['18', 'Unknown age on WhatsApp: Included']}, {'content': 'Gend type=targets_spec
  2026-08-05 | Ad set bidding updated | MarketingAgent | Ads Automation Pastry | ARCHIVE_DO_NOT_USE_PASTRY_Original_43Ads | 120247750791720393 | 1 | old=None new=Automatically bid for actions type=bid_type
  2026-08-05 | Ad set created | MarketingAgent | Ads Automation Pastry | ARCHIVE_DO_NOT_USE_PASTRY_Original_43Ads | 120247750791720393 | 1 | old=None new=None type=composite_data
  2026-08-05 | Ad set optimization goal updated | MarketingAgent | Ads Automation Pastry | ARCHIVE_DO_NOT_USE_PASTRY_Original_43Ads | 120247750791720393 | 1 | old=None new=Conversions type=optimization_goal
  2026-08-05 | Campaign created | MarketingAgent | Ads Automation Pastry | PASTRY_TEST_Creative_Broad_20260805 | 120247750787550393 | 1 | old=None new={'type': 'payment_amount', 'currency': 'ZAR', 'new_value': 28800, 'additional_type': 'status_string', 'additional_value': 'Per day'} type=composite_data
  2026-08-05 | Ad set name updated | MarketingAgent | Ads Automation Pastry | ARCHIVE_DO_NOT_USE_PASTRY_Original_43Ads | 120247750791720393 | 1 | old=AS1_Broad_Creative_Test_Wave new=ARCHIVE_DO_NOT_USE_PASTRY_Original_43Ads type=name
  2026-08-05 | Ad set targeting updated | MarketingAgent | Ads Automation Pastry | PASTRY_W6_Broad_Creative_Test_5Ads | 120247751723950393 | 1 | old=[] new=[{'content': 'Location:', 'children': ['South Africa']}, {'content': 'Minimum age:', 'children': ['18', 'Unknown age on WhatsApp: Included']}, {'content': 'Gend type=targets_spec
  2026-08-05 | Ad set bidding updated | MarketingAgent | Ads Automation Pastry | PASTRY_W6_Broad_Creative_Test_5Ads | 120247751723950393 | 1 | old=None new=Automatically bid for actions type=bid_type
  2026-08-05 | Ad set created | MarketingAgent | Ads Automation Pastry | PASTRY_W6_Broad_Creative_Test_5Ads | 120247751723950393 | 1 | old=None new=None type=composite_data
  2026-08-05 | Ad set optimization goal updated | MarketingAgent | Ads Automation Pastry | PASTRY_W6_Broad_Creative_Test_5Ads | 120247751723950393 | 1 | old=None new=Conversions type=optimization_goal
  2026-08-05 | Ad set targeting updated | MarketingAgent | Ads Automation Pastry | PASTRY_W5_Broad_Creative_Test_5Ads | 120247751722120393 | 1 | old=[] new=[{'content': 'Location:', 'children': ['South Africa']}, {'content': 'Minimum age:', 'children': ['18', 'Unknown age on WhatsApp: Included']}, {'content': 'Gend type=targets_spec
  2026-08-05 | Ad set bidding updated | MarketingAgent | Ads Automation Pastry | PASTRY_W5_Broad_Creative_Test_5Ads | 120247751722120393 | 1 | old=None new=Automatically bid for actions type=bid_type
  2026-08-05 | Ad set created | MarketingAgent | Ads Automation Pastry | PASTRY_W5_Broad_Creative_Test_5Ads | 120247751722120393 | 1 | old=None new=None type=composite_data
  2026-08-05 | Ad set optimization goal updated | MarketingAgent | Ads Automation Pastry | PASTRY_W5_Broad_Creative_Test_5Ads | 120247751722120393 | 1 | old=None new=Conversions type=optimization_goal
  2026-08-05 | Ad set targeting updated | MarketingAgent | Ads Automation Pastry | PASTRY_W4_Broad_Creative_Test_5Ads | 120247751720360393 | 1 | old=[] new=[{'content': 'Location:', 'children': ['South Africa']}, {'content': 'Minimum age:', 'children': ['18', 'Unknown age on WhatsApp: Included']}, {'content': 'Gend type=targets_spec
  2026-08-05 | Ad set bidding updated | MarketingAgent | Ads Automation Pastry | PASTRY_W4_Broad_Creative_Test_5Ads | 120247751720360393 | 1 | old=None new=Automatically bid for actions type=bid_type
  2026-08-05 | Ad set created | MarketingAgent | Ads Automation Pastry | PASTRY_W4_Broad_Creative_Test_5Ads | 120247751720360393 | 1 | old=None new=None type=composite_data
  2026-08-05 | Ad set optimization goal updated | MarketingAgent | Ads Automation Pastry | PASTRY_W4_Broad_Creative_Test_5Ads | 120247751720360393 | 1 | old=None new=Conversions type=optimization_goal
  2026-08-05 | Ad set targeting updated | MarketingAgent | Ads Automation Pastry | PASTRY_W3_Broad_Creative_Test_5Ads | 120247751718430393 | 1 | old=[] new=[{'content': 'Location:', 'children': ['South Africa']}, {'content': 'Minimum age:', 'children': ['18', 'Unknown age on WhatsApp: Included']}, {'content': 'Gend type=targets_spec
  2026-08-05 | Ad set bidding updated | MarketingAgent | Ads Automation Pastry | PASTRY_W3_Broad_Creative_Test_5Ads | 120247751718430393 | 1 | old=None new=Automatically bid for actions type=bid_type
  2026-08-05 | Ad set created | MarketingAgent | Ads Automation Pastry | PASTRY_W3_Broad_Creative_Test_5Ads | 120247751718430393 | 1 | old=None new=None type=composite_data
  2026-08-05 | Ad set optimization goal updated | MarketingAgent | Ads Automation Pastry | PASTRY_W3_Broad_Creative_Test_5Ads | 120247751718430393 | 1 | old=None new=Conversions type=optimization_goal
  2026-08-05 | Ad set targeting updated | MarketingAgent | Ads Automation Pastry | PASTRY_W2_Broad_Creative_Test_5Ads | 120247751716700393 | 1 | old=[] new=[{'content': 'Location:', 'children': ['South Africa']}, {'content': 'Minimum age:', 'children': ['18', 'Unknown age on WhatsApp: Included']}, {'content': 'Gend type=targets_spec
  2026-08-05 | Ad set bidding updated | MarketingAgent | Ads Automation Pastry | PASTRY_W2_Broad_Creative_Test_5Ads | 120247751716700393 | 1 | old=None new=Automatically bid for actions type=bid_type
  2026-08-05 | Ad set created | MarketingAgent | Ads Automation Pastry | PASTRY_W2_Broad_Creative_Test_5Ads | 120247751716700393 | 1 | old=None new=None type=composite_data
  2026-08-05 | Ad set optimization goal updated | MarketingAgent | Ads Automation Pastry | PASTRY_W2_Broad_Creative_Test_5Ads | 120247751716700393 | 1 | old=None new=Conversions type=optimization_goal
  2026-08-05 | Ad set targeting updated | MarketingAgent | Ads Automation Pastry | PASTRY_W1_Broad_Creative_Test_5Ads | 120247751713780393 | 1 | old=[] new=[{'content': 'Location:', 'children': ['South Africa']}, {'content': 'Minimum age:', 'children': ['18', 'Unknown age on WhatsApp: Included']}, {'content': 'Gend type=targets_spec
  2026-08-05 | Ad set bidding updated | MarketingAgent | Ads Automation Pastry | PASTRY_W1_Broad_Creative_Test_5Ads | 120247751713780393 | 1 | old=None new=Automatically bid for actions type=bid_type
  2026-08-05 | Ad set created | MarketingAgent | Ads Automation Pastry | PASTRY_W1_Broad_Creative_Test_5Ads | 120247751713780393 | 1 | old=None new=None type=composite_data
  2026-08-05 | Ad set optimization goal updated | MarketingAgent | Ads Automation Pastry | PASTRY_W1_Broad_Creative_Test_5Ads | 120247751713780393 | 1 | old=None new=Conversions type=optimization_goal
  2026-08-05 | Campaign status updated | Mathebe Molise | Ads Automation Pastry | PASTRY_TEST_Creative_Broad_20260805 | 120247750787550393 | 1 | old=Inactive new=Active type=run_status
  2026-08-05 | Ad set targeting updated | Mathebe Molise | Ads Automation Pastry | PASTRY_W1_Broad_Creative_Test_5Ads | 120247751713780393 | 2 | old=[{'content': 'Location:', 'children': ['South Africa']}, {'content': 'Minimum age:', 'children': ['18', 'Unknown age on  new=[{'content': 'Location:', 'children': ['South Africa']}, {'content': 'Exclude location:', 'children':
