date,orders,net_sales_zar,source
2026-07-25,34,23995.5,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-07-26,49,44720.25,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-07-27,56,49045.75,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-07-28,61,47346.0,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-07-29,45,35931.25,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-07-30,39,36460.25,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-07-31,39,33049.0,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-08-01,39,30558.75,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-08-02,47,34979.0,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-08-03,60,46733.0,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-08-04,41,32363.5,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-08-05,43,34771.25,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-08-06,38,27026.25,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-08-07,30,24098.25,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-08-08,24,24609.75,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-08-09,22,18582.0,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-08-10,25,17273.25,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-08-11,21,16804.75,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-08-12,26,21693.25,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-08-13,25,18680.5,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
