period,since,until,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,effective_status,creative_id,video_id,ig_media_id,conversion_domain,spend_zar,impressions,reach,frequency,cpm_zar,outbound_clicks,outbound_ctr_pct,cost_per_outbound_click_zar,landing_page_views,lpv_per_outbound_click,add_to_cart,atc_per_lpv,initiate_checkout,ic_per_atc,website_purchases,purchase_per_ic,purchase_per_lpv,purchase_value_zar,cpa_zar,attributed_roas,video_plays,thruplays,p25,p50,p75,p95,p100,avg_play_time_s,thruplay_per_play,p25_per_play,p100_per_play,outbound_click_per_play,saves,comments,reactions,ig_follows,source
L28,2026-08-09,2026-09-05,120248284946200393,W3__05__FIVE_PRODUCT_GUIDE,120248284917990393,PASTRY_W3_ZA_SHOPPING_INTENT_TEST,120248284911800393,PASTRY_TEST_REELS_ZA_W1_W3_ABO_20260828,ACTIVE,1738342593737521,1616827743571675,17901773928549544,pastryskincare.co.za,34.14,550,480,1.145833,62.07,14,2.545,2.44,15,1.071,7,0.467,2,0.286,0,0.0,0.0,0.0,,,467,67,63,47,34,28,18,10,0.143,0.135,0.039,0.03,2,,2,0,"ads_get_ad_entities level=ad time_range 2026-08-09..2026-09-05, attribution per ad set (7d click/1d view), captured 2026-09-06 10:35 UTC"
L28,2026-08-09,2026-09-05,120248284939180393,W2__05__PASTRY_PREMIUM_FAQ,120248284914700393,PASTRY_W2_ZA_SOCIAL30_TEST,120248284911800393,PASTRY_TEST_REELS_ZA_W1_W3_ABO_20260828,ACTIVE,1389786629919253,1937680153565157,17948069391039064,pastryskincare.co.za,80.52,1130,860,1.313953,71.26,27,2.389,2.98,24,0.889,6,0.25,3,0.5,0,0.0,0.0,0.0,,,1013,152,131,85,57,54,42,9,0.15,0.129,0.041,0.0267,,,8,0,"ads_get_ad_entities level=ad time_range 2026-08-09..2026-09-05, attribution per ad set (7d click/1d view), captured 2026-09-06 10:35 UTC"
L28,2026-08-09,2026-09-05,120248284941210393,W3__01__CHOOSE_BODY_WASH_BY_CONCERN,120248284917990393,PASTRY_W3_ZA_SHOPPING_INTENT_TEST,120248284911800393,PASTRY_TEST_REELS_ZA_W1_W3_ABO_20260828,ACTIVE,795955873574185,947375435055153,17948706084037527,pastryskincare.co.za,238.98,5772,4685,1.232017,41.4,205,3.552,1.17,184,0.898,15,0.082,13,0.867,3,0.231,0.0163,1977.25,79.66,8.27,5291,1144,1579,1141,878,703,482,9,0.216,0.298,0.091,0.0387,7,,11,0,"ads_get_ad_entities level=ad time_range 2026-08-09..2026-09-05, attribution per ad set (7d click/1d view), captured 2026-09-06 10:35 UTC"
L28,2026-08-09,2026-09-05,120248284936140393,W2__03__BODY_CARE_JOURNEY,120248284914700393,PASTRY_W2_ZA_SOCIAL30_TEST,120248284911800393,PASTRY_TEST_REELS_ZA_W1_W3_ABO_20260828,ACTIVE,1036641345651931,1356857919885627,18409947541159460,pastryskincare.co.za,102.75,1767,1400,1.262143,58.15,31,1.754,3.31,32,1.032,2,0.062,2,1.0,1,0.5,0.0312,631.75,102.75,6.15,1582,173,134,55,45,27,21,7,0.109,0.085,0.013,0.0196,,,4,0,"ads_get_ad_entities level=ad time_range 2026-08-09..2026-09-05, attribution per ad set (7d click/1d view), captured 2026-09-06 10:35 UTC"
L28,2026-08-09,2026-09-05,120248284933230393,W2__02__ROUGH_BUMP_ROUTINE,120248284914700393,PASTRY_W2_ZA_SOCIAL30_TEST,120248284911800393,PASTRY_TEST_REELS_ZA_W1_W3_ABO_20260828,ACTIVE,2101839031212801,1028459383291355,18480202000108225,pastryskincare.co.za,22.68,372,333,1.117117,60.97,11,2.957,2.06,10,0.909,3,0.3,3,1.0,0,0.0,0.0,0.0,,,334,40,35,15,6,3,2,6,0.12,0.105,0.006,0.0329,,,2,0,"ads_get_ad_entities level=ad time_range 2026-08-09..2026-09-05, attribution per ad set (7d click/1d view), captured 2026-09-06 10:35 UTC"
L28,2026-08-09,2026-09-05,120248284943530393,W3__02__BODY_ACNE_SOLUTION,120248284917990393,PASTRY_W3_ZA_SHOPPING_INTENT_TEST,120248284911800393,PASTRY_TEST_REELS_ZA_W1_W3_ABO_20260828,ACTIVE,1673149103765536,1024884870346149,17894570910595157,pastryskincare.co.za,443.9,16940,14340,1.181311,26.2,261,1.541,1.7,201,0.77,33,0.164,17,0.515,4,0.235,0.0199,3605.75,110.97,8.12,16091,1710,4273,2935,2131,1735,1694,4,0.106,0.266,0.105,0.0162,6,,15,1,"ads_get_ad_entities level=ad time_range 2026-08-09..2026-09-05, attribution per ad set (7d click/1d view), captured 2026-09-06 10:35 UTC"
L28,2026-08-09,2026-09-05,120248284932400393,W2__01__INNER_THIGH_ROUTINE,120248284914700393,PASTRY_W2_ZA_SOCIAL30_TEST,120248284911800393,PASTRY_TEST_REELS_ZA_W1_W3_ABO_20260828,ACTIVE,1078726171766785,2555843638218482,18362479630212526,pastryskincare.co.za,1674.81,26703,14541,1.836394,62.72,547,2.048,3.06,463,0.846,155,0.335,61,0.394,21,0.344,0.0454,17962.75,79.75,10.73,24702,2599,3631,1990,1134,751,626,5,0.105,0.147,0.025,0.0221,22,4,135,0,"ads_get_ad_entities level=ad time_range 2026-08-09..2026-09-05, attribution per ad set (7d click/1d view), captured 2026-09-06 10:35 UTC"
L28,2026-08-09,2026-09-05,120248284929570393,W1__05__HAND_CREAMS_BY_NEED,120248284913190393,PASTRY_W1_ZA_FULL_SIGNAL_TEST,120248284911800393,PASTRY_TEST_REELS_ZA_W1_W3_ABO_20260828,ACTIVE,2000824997974370,1393923599331521,18109345202471107,pastryskincare.co.za,182.85,4950,4432,1.116877,36.94,115,2.323,1.59,93,0.809,19,0.204,8,0.421,3,0.375,0.0323,2025.75,60.95,11.08,4693,387,574,408,317,259,229,4,0.082,0.122,0.049,0.0245,2,2,7,0,"ads_get_ad_entities level=ad time_range 2026-08-09..2026-09-05, attribution per ad set (7d click/1d view), captured 2026-09-06 10:35 UTC"
L28,2026-08-09,2026-09-05,120248284928040393,W1__04__STRETCH_MARK_ROUTINE,120248284913190393,PASTRY_W1_ZA_FULL_SIGNAL_TEST,120248284911800393,PASTRY_TEST_REELS_ZA_W1_W3_ABO_20260828,ACTIVE,2137843480105917,1279828150741897,18117519449506692,pastryskincare.co.za,248.48,5441,4496,1.210187,45.67,229,4.209,1.09,203,0.886,18,0.089,5,0.278,1,0.2,0.0049,622.25,248.48,2.5,5100,712,583,403,314,241,180,12,0.14,0.114,0.035,0.0449,22,1,36,2,"ads_get_ad_entities level=ad time_range 2026-08-09..2026-09-05, attribution per ad set (7d click/1d view), captured 2026-09-06 10:35 UTC"
L28,2026-08-09,2026-09-05,120248284925050393,W1__02__UNDERARM_PIGMENTATION_AND_SWEAT,120248284913190393,PASTRY_W1_ZA_FULL_SIGNAL_TEST,120248284911800393,PASTRY_TEST_REELS_ZA_W1_W3_ABO_20260828,ACTIVE,1105133075290115,1376924207957298,18348472762247625,pastryskincare.co.za,1569.67,29398,22585,1.30166,53.39,560,1.905,2.8,526,0.939,101,0.192,34,0.337,9,0.265,0.0171,5847.5,174.41,3.73,27682,3084,4082,2927,2284,1393,1123,6,0.111,0.147,0.041,0.0202,22,2,66,8,"ads_get_ad_entities level=ad time_range 2026-08-09..2026-09-05, attribution per ad set (7d click/1d view), captured 2026-09-06 10:35 UTC"
