campaign_id,campaign,ad_group,search_term,conversion_action,all_conversions,all_conversions_value,source
23654472671,Pastry_Shopping,Pastry_All_Products,best body wash for hyperpigmentation,Google Shopping App Purchase,0.5,292.5,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,body wash with salicylic acid,Google Shopping App Purchase,0.5,335,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,exfoliating body wash,Google Shopping App Purchase,0.5,292.5,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,hands brightening cream,Google Shopping App Purchase,0.5,559.5,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pantry lotion,Google Shopping App Purchase,0.5,440.37,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,hand sunscreen,Google Shopping App Purchase,0.3333,358.33,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,vitamin c hand cream with spf,Google Shopping App Purchase,0.3333,358.33,raw/53_stv_purchase_actions_90d.json (166 rows)
23614843633,Search-bodycare,Ad group 1,pastry skin products,Google Shopping App Purchase,0.3139,305.42,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,glow bright,Google Shopping App Purchase,0.2565,449.08,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,skin pastry,Pastry Skincare (web) purchase,0.25,158.75,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,pastry underarm roll on,Google Shopping App Purchase,0.2245,236.8,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,rich nourishing body lotion,Google Shopping App Purchase,0.1818,123.64,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,body pigmentation removal cream,Google Shopping App Purchase,0.1667,141.75,raw/53_stv_purchase_actions_90d.json (166 rows)
24003538946,Pastry_Shopping _Target_ROAS_Experiment,Pastry_All_Products,retinal skin booster serum centella asiatica niacinamide,Google Shopping App Purchase,0.0771,42.42,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,vaseline glow gel,Google Shopping App Purchase,0.073,53.29,raw/53_stv_purchase_actions_90d.json (166 rows)
24003538946,Pastry_Shopping _Target_ROAS_Experiment,Pastry_All_Products,axis y,Google Shopping App Purchase,0.0692,22.49,raw/53_stv_purchase_actions_90d.json (166 rows)
24003538946,Pastry_Shopping _Target_ROAS_Experiment,Pastry_All_Products,lactic acid body lotion,Google Shopping App Purchase,0.0692,23.87,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,pastry lotion,Google Shopping App Purchase,0.0625,20.32,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,body lotion,Google Shopping App Purchase,0.0452,31.87,raw/53_stv_purchase_actions_90d.json (166 rows)
23660059123,Pastry_Brand_Search,Ad group 1,pastry salicylic acid body wash,Google Shopping App Purchase,0.0306,19.06,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,anti pigment hand cream,Google Shopping App Purchase,0.0274,16.21,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,barrier repair cream for body,Google Shopping App Purchase,0.0228,21.13,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,body brush,Google Shopping App Purchase,0.0216,8.23,raw/53_stv_purchase_actions_90d.json (166 rows)
23654472671,Pastry_Shopping,Pastry_All_Products,centella asiatica,Google Shopping App Purchase,0.0177,9.27,raw/53_stv_purchase_actions_90d.json (166 rows)
