campaign_id,campaign,ad_group_id,ad_group,search_term,stv_status,matched_keyword,keyword_match_type,search_term_match_type,impressions,clicks,cost_zar,conversions_primary_mixed,conversions_value_primary_mixed,all_conversions,source
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,mesoestetic melan tran3x concentrate review,NONE,pigmentation correcting serum,PHRASE,NEAR_PHRASE,1,1,15.09,0,0,2,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,pigmentation buster standard beauty,NONE,pigmentation correction serum,PHRASE,NEAR_PHRASE,3,1,15.08,0,0,1,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,serum for dark spots dischem,NONE,pigmentation correcting serum,PHRASE,NEAR_PHRASE,2,1,15.07,0,0,2,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,jumiso niacinamide 20 serum,NONE,niacinamide pigmentation serum,PHRASE,NEAR_PHRASE,4,1,15.06,0,0,0,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry serum,ADDED,pastry serum,EXACT,EXACT,48,11,15.056285,0,0,11.7244,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry online,NONE,pastry skin care,BROAD,BROAD,29,16,14.91,6.9585,393.34,103.657,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582693829,Brightening Body Oil,blossom brightening body oil,NONE,body brightening oil,PHRASE,PHRASE,6,1,14.82,0,0,1,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry skincare cape town,ADDED,pastry skincare cape town,EXACT,EXACT,50,11,14.783254,0,0,12,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,best serum for pigmentation and dark spots,NONE,pigmentation correcting serum,PHRASE,NEAR_PHRASE,1,1,14.52,0,0,1,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582693749,Anti-Pigment Hand Cream,best hand whitening cream at clicks,NONE,pigmentation hand cream,PHRASE,NEAR_PHRASE,3,1,14.45,0,0,1,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,axis y dark spot correcting glow serum south africa,NONE,pigmentation correcting serum,PHRASE,NEAR_PHRASE,1,1,14.44,0,0,1,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,txa serum,NONE,pigmentation correcting serum,PHRASE,NEAR_PHRASE,16,1,14.4,0,0,2,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry skincare hand cream,NONE,pastry hand cream,EXACT,NEAR_EXACT,35,9,14.395362,1,345,32,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23614843633,Search-bodycare,195291098322,Ad group 1,the pastry,NONE,body cream,BROAD,BROAD,20,4,14.13,2,32.39,19.9629,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660112718,Pastry_BodyWash_Search,194151132373,Ad group 1,pastry glycolic acid body wash,ADDED,pastry glycolic acid body wash,EXACT,EXACT,41,3,14.06,0,0,2.1978,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry skincare products,ADDED,pastry skincare products,EXACT,EXACT,39,15,14.009951,1,16.47,30.4378,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,naturium tranexamic topical acid 5,NONE,pigmentation correcting serum,PHRASE,NEAR_PHRASE,7,1,13.96,0,0,1,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23614843633,Search-bodycare,195291098322,Ad group 1,pastry hand lotion,NONE,body cream,BROAD,BROAD,58,13,13.939363,1,16.52,16.5,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
