campaign_id,campaign,ad_group_id,ad_group,search_term,stv_status,matched_keyword,keyword_match_type,search_term_match_type,impressions,clicks,cost_zar,conversions,conversions_value,all_conversions,source
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry menlyn,NONE,pastry skin care,BROAD,NEAR_PHRASE,7,1,0.11,0,0,1,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pantry body products,NONE,pastry skin care,BROAD,NEAR_PHRASE,7,2,0.1,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry body lotion price,NONE,pastry skin,PHRASE,NEAR_PHRASE,6,1,0.1,0,0,1,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry cosmetics,NONE,pastry skincare products,EXACT,NEAR_EXACT,7,1,0.07,0,0,2,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pasty skincare,NONE,pastry skincare,BROAD,PHRASE,2,1,0.06,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry body,NONE,pastry skin,PHRASE,NEAR_PHRASE,4,1,0.04,0,0,10,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pantry skin care,NONE,pastry skin,EXACT,NEAR_EXACT,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry skincare shop,NONE,pastry skin,EXACT,NEAR_EXACT,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry hand cream near me,NONE,pastry hand cream,EXACT,NEAR_EXACT,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,beauty in tapp,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,beautyon tapp,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,body cream,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,body exfoliant,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,body exfoliator,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,body lotion,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,body lush,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,body oil,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,body scrub base,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,body serums,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,body skincare,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,brightening body wash,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,clrs products,NONE,pastry skin care,BROAD,BROAD,2,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,combination skin cleanser,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,exfoliating body wash,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,eye patches,NONE,pastry skin care,BROAD,BROAD,2,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,eye serum,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,glycolic acid,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,glycolic acid body wash,NONE,pastry skin care,BROAD,BROAD,5,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,hyaluronic acid shower gel,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,hypoallergenic body wash,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,iq sunscreen,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,kojic acid body wash,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,korean beauty products in south africa,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,lip spf,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,mandelic acid,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,mandelic acid body wash,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,medicube body wash,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,moisturising hand cream,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,mombod,NONE,pastry skin care,BROAD,BROAD,2,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,palmers body wash,NONE,pastry skin care,BROAD,BROAD,2,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pantry cosmetics,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pantry skin care,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pdrn body lotion,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pstry,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,salicylic acid body wash,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,salicylic acid serum,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,skincare collection,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,skins body oil,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,sunscreen,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,the ordinary body wash,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,the ordinary south africa,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,tissue oil,NONE,pastry skin care,BROAD,BROAD,2,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,vitamin c body wash,NONE,pastry skin care,BROAD,BROAD,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pantry body lotion,NONE,pastry skin care,BROAD,NEAR_PHRASE,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
